Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure_Months,Number_of_Purchases,Support_Requests,Login_Frequency,Last_Activity_Days_Ago,Satisfaction_Score,Payment_Method,Contract_Type,Discount_Used,Referral_Source,Auto_Renew,Device_Type,Internet_Speed,Customer_Lifetime_Value,Churn
CUST000034,30.0,Male,Indianapolis,Basic,16.21,21.0,23.0,3.0,70.0,43.0,6.0,Cash,Quarterly,No,Friend,Yes,Desktop,Slow,355.6,No
CUST001234,41.0,Male,Nashville,Premium,108.84,8.0,3.0,6.0,0.0,32.0,4.0,Credit Card,Quarterly,No,Email Campaign,No,Desktop,Fast,1130.76,Yes
CUST000367,31.0,Female,Portland,Premium,79.73,16.0,13.0,1.0,48.0,22.0,8.0,Debit Card,Monthly,No,Friend,No,Android,Slow,1437.04,No
CUST000803,44.0,Male,Charlotte,Basic,13.62,16.0,4.0,4.0,27.0,81.0,6.0,Debit Card,Quarterly,No,Organic Search,Yes,Android,Slow,155.79,Yes
CUST000513,41.0,Male,Philadelphia,Basic,18.35,9.0,6.0,2.0,15.0,41.0,6.0,Debit Card,Quarterly,No,Organic Search,No,iPhone,Fast,389.2,Yes
CUST001586,21.0,Male,New York,Standard,29.73,5.0,1.0,4.0,26.0,41.0,6.0,Debit Card,Monthly,No,Advertisement,No,Android,Fast,50.0,Yes
CUST001031,54.0,Female,Columbus,Standard,50.05,7.0,5.0,0.0,73.0,0.0,10.0,Cash,Yearly,No,Advertisement,Yes,Desktop,Medium,,No
CUST000503,31.0,Male,Phoenix,Standard,35.73,2.0,1.0,0.0,39.0,46.0,7.0,Credit Card,Yearly,No,Social Media,Yes,Android,Fast,509.74,No
CUST000536,48.0,Male,Philadelphia,Standard,31.81,7.0,2.0,1.0,24.0,56.0,8.0,Bank Transfer,Quarterly,No,Social Media,No,Desktop,Medium,772.2,Yes
CUST001791,20.0,Male,San Diego,Basic,10.0,20.0,7.0,0.0,35.0,40.0,8.0,PayPal,Quarterly,No,Friend,Yes,iPhone,Medium,50.0,No
CUST000572,39.0,Male,Chicago,Standard,29.49,13.0,2.0,5.0,0.0,109.0,5.0,PayPal,Quarterly,No,Friend,No,Android,Fast,218.57,Yes
CUST001324,21.0,Male,Los Angeles,Standard,46.49,52.0,23.0,2.0,35.0,52.0,5.0,Bank Transfer,Monthly,No,Social Media,Yes,Desktop,Medium,2801.11,Yes
