Customer_ID,Age,Gender,City,Subscription_Type,Monthly_Spending,Tenure_Months,Number_of_Purchases,Support_Requests,Login_Frequency,Last_Activity_Days_Ago,Satisfaction_Score,Payment_Method,Contract_Type,Discount_Used,Referral_Source,Auto_Renew,Device_Type,Internet_Speed,Customer_Lifetime_Value,Churn,Avg_Spend_Per_Tenure,Purchases_Per_Tenure,Support_Requests_Per_Tenure,Spend_Per_Purchase,Engagement_Score,Recent_Inactivity_Flag,High_Support_Flag
CUST000034,30.0,Male,Indianapolis,Basic,16.21,21.0,23.0,3.0,70.0,43.0,6.0,Cash,Quarterly,No,Friend,Yes,Desktop,Slow,355.6,No,0.771904761904762,1.0952380952380953,0.14285714285714285,0.7047826086956522,49.25,0.0,0.0
CUST001234,41.0,Male,Nashville,Premium,108.84,8.0,3.0,6.0,0.0,32.0,4.0,Credit Card,Quarterly,No,Email Campaign,No,Desktop,Fast,1130.76,Yes,13.605,0.375,0.75,36.28,1.0,0.0,1.0
CUST000367,31.0,Female,Portland,Premium,79.73,16.0,13.0,1.0,48.0,22.0,8.0,Debit Card,Monthly,No,Friend,No,Android,Slow,1437.04,No,4.983125,0.8125,0.0625,6.133076923076923,61.599999999999994,0.0,0.0
CUST000803,44.0,Male,Charlotte,Basic,13.62,16.0,4.0,4.0,27.0,81.0,6.0,Debit Card,Quarterly,No,Organic Search,Yes,Android,Slow,155.79,Yes,0.85125,0.25,0.25,3.405,17.9,1.0,1.0
CUST000513,41.0,Male,Philadelphia,Basic,18.35,9.0,6.0,2.0,15.0,41.0,6.0,Debit Card,Quarterly,No,Organic Search,No,iPhone,Fast,389.2,Yes,2.038888888888889,0.6666666666666666,0.2222222222222222,3.0583333333333336,27.5,0.0,0.0
CUST001586,21.0,Male,New York,Standard,29.73,5.0,1.0,4.0,26.0,41.0,6.0,Debit Card,Monthly,No,Advertisement,No,Android,Fast,50.0,Yes,5.946,0.2,0.8,29.73,27.450000000000003,0.0,1.0
CUST001031,54.0,Female,Columbus,Standard,50.05,7.0,5.0,0.0,73.0,0.0,10.0,Cash,Yearly,No,Advertisement,Yes,Desktop,Medium,,No,7.1499999999999995,0.7142857142857143,0.0,10.01,92.85,0.0,0.0
CUST000503,31.0,Male,Phoenix,Standard,35.73,2.0,1.0,0.0,39.0,46.0,7.0,Credit Card,Yearly,No,Social Media,Yes,Android,Fast,509.74,No,17.865,0.5,0.0,35.73,48.05,0.0,0.0
CUST000536,48.0,Male,Philadelphia,Standard,31.81,7.0,2.0,1.0,24.0,56.0,8.0,Bank Transfer,Quarterly,No,Social Media,No,Desktop,Medium,772.2,Yes,4.5442857142857145,0.2857142857142857,0.14285714285714285,15.905,42.3,0.0,0.0
CUST001791,20.0,Male,San Diego,Basic,10.0,20.0,7.0,0.0,35.0,40.0,8.0,PayPal,Quarterly,No,Friend,Yes,iPhone,Medium,50.0,No,0.5,0.35,0.0,1.4285714285714286,53.75,0.0,0.0
CUST000572,39.0,Male,Chicago,Standard,29.49,13.0,2.0,5.0,0.0,109.0,5.0,PayPal,Quarterly,No,Friend,No,Android,Fast,218.57,Yes,2.2684615384615383,0.15384615384615385,0.38461538461538464,14.745,-9.75,1.0,1.0
CUST001324,21.0,Male,Los Angeles,Standard,46.49,52.0,23.0,2.0,35.0,52.0,5.0,Bank Transfer,Monthly,No,Social Media,Yes,Desktop,Medium,2801.11,Yes,0.8940384615384616,0.4423076923076923,0.038461538461538464,2.0213043478260873,27.75,0.0,0.0
CUST000702,37.0,Male,Dallas,Basic,36.89,9.0,10.0,3.0,52.0,30.0,7.0,Credit Card,,No,Friend,Yes,Tablet,Fast,283.8,No,4.098888888888889,1.1111111111111112,0.3333333333333333,3.689,50.400000000000006,0.0,0.0
CUST000043,32.0,Male,Charlotte,Standard,27.57,9.0,1.0,4.0,0.0,81.0,6.0,PayPal,Quarterly,No,Social Media,No,Android,Medium,157.41,Yes,3.0633333333333335,0.1111111111111111,0.4444444444444444,27.57,5.75,1.0,1.0
CUST000215,36.0,Male,San Antonio,Basic,16.71,35.0,39.0,4.0,56.0,31.0,7.0,Credit Card,Quarterly,No,Advertisement,Yes,iPhone,Medium,844.18,No,0.4774285714285715,1.1142857142857143,0.11428571428571428,0.4284615384615385,49.45,0.0,1.0
CUST001654,35.0,Male,Phoenix,Premium,131.18,6.0,2.0,4.0,0.0,70.0,6.0,PayPal,Yearly,No,Friend,Yes,iPhone,Medium,603.69,No,21.863333333333333,0.3333333333333333,0.6666666666666666,65.59,8.5,1.0,1.0
CUST001359,35.0,Female,Seattle,Standard,19.94,9.0,1.0,3.0,0.0,102.0,6.0,Debit Card,Quarterly,No,Organic Search,No,Tablet,Slow,50.0,Yes,2.2155555555555555,0.1111111111111111,0.3333333333333333,19.94,3.0,1.0,0.0
CUST000703,,Male,Columbus,Enterprise,300.0,3.0,4.0,0.0,55.0,42.0,10.0,Credit Card,Quarterly,No,Organic Search,Yes,Tablet,Medium,884.7,No,100.0,1.3333333333333333,0.0,75.0,74.25,0.0,0.0
CUST001403,38.0,Female,San Jose,Standard,42.53,9.0,13.0,1.0,73.0,0.0,10.0,Credit Card,Yearly,No,Friend,Yes,Android,Slow,387.66,No,4.725555555555555,1.4444444444444444,0.1111111111111111,3.2715384615384617,90.35,0.0,0.0
CUST001560,38.0,Female,Dallas,Premium,146.93,11.0,,1.0,51.0,39.0,9.0,Credit Card,Yearly,No,Friend,Yes,Tablet,Fast,1191.84,No,13.357272727272727,,0.09090909090909091,,64.7,0.0,0.0
CUST000474,42.0,Female,San Diego,Basic,14.53,72.0,49.0,2.0,16.0,23.0,7.0,PayPal,Monthly,No,Email Campaign,No,Android,Fast,1025.27,Yes,0.20180555555555554,0.6805555555555556,0.027777777777777776,0.29653061224489796,38.45,0.0,0.0
CUST000567,38.0,Female,San Diego,Premium,114.85,1.0,1.0,3.0,48.0,43.0,8.0,Credit Card,Quarterly,No,Social Media,Yes,Tablet,,283.94,No,114.85,1.0,3.0,114.85,51.349999999999994,0.0,0.0
CUST000070,38.0,Male,Austin,Basic,16.33,9.0,7.0,0.0,68.0,25.0,10.0,Cash,Monthly,Yes,Organic Search,No,iPhone,Medium,50.0,No,1.8144444444444443,0.7777777777777778,0.0,2.3328571428571427,84.35,0.0,0.0
CUST001672,21.0,Female,Chicago,Premium,108.67,31.0,14.0,1.0,45.0,49.0,5.0,PayPal,Monthly,Yes,Advertisement,Yes,Desktop,Medium,2667.46,No,3.505483870967742,0.45161290322580644,0.03225806451612903,7.762142857142857,35.5,0.0,0.0
